Feature,mixed_host3,mixed_innate1,white_host2,host1,host2,host3,mixed_host1,pink_host1,white_host1,pink_host2,pink_host3,pink_innate1,pink_innate2,innate3,innate2,pink_innate3,innate1,mixed_host2,white_host3,white_innate1,white_innate2,mixed_innate2,mixed_innate3,white_innate3
m_127,1997249.4,4030822.5,1477475,1550063.9,1280698.9,1499694.1,1532872.1,1360216.8,1522065.9,1334018,1168781.8,3066357.5,3145350,3135488,2903674.2,3132845.2,3033597.8,1416465,1675820.9,2675679.8,2674658.8,3013773,3146628.8,3204103.2
m_269,1175133.4,4016425,484753.97,730047.8,702523.25,854880.2,902436.75,787620.94,774065.75,829676.56,663578.7,2816912,2599384.2,2622799.8,2352491,2831104,2482975,788357.5,707160.5,2429906.2,2213757.8,2923939.5,2805828,3014694
m_345,3296009.2,1114329.9,1100025.9,1824992.4,818849.3,1997033.6,1531343.4,1105738.1,460054.7,342059.28,2895806.5,3263592.2,3296265.5,2847114.2,1195424.6,3272739,1156218.6,1800311.4,1062373,1761225.6,1731282.4,1099180,1133327.9,1321559.5
m_434,4216973,2324106.5,817651.4,1038573.75,1027062.3,1623622.9,1437152,4115088.8,1456524.5,1789506.1,2686152.8,2265097.5,4134783.8,3350123.2,2456804.8,3826341.2,3856724.2,3373083.2,1875215.1,2044334.6,1448317.6,2997250,1984838.5,1679964
m_387,1998662.4,2072289.6,257,31,52,279307.16,2618489.2,2889986,3049033,2522492.2,3345802.5,3040383.2,2524578.5,1205336,2843150.2,1902711.2,457280.1,3240568,2655064.2,147146.03,156336.22,2548169,2665441.2,3050014.8
m_356,3335375,2894235,2206596.5,3369630.2,3035391.2,2620136.8,2942983.2,3072687,2563242,2248624.2,2730833,1153858.6,1919600.6,2788809.8,2474087.2,2684366.8,1946832.1,3156877.5,1861576.5,1932516,1390154.6,2244670,1472413.2,1770479.8
m_85,3023682.8,3023940,2074963,2148256,2175333,2278023.2,2159908.5,804662.3,2431142,2279128.8,2364410.2,2314436.2,2277282.5,2400200.5,2466823.2,2492538.8,2347221.8,2465979,2247515.5,2125981,2066263.5,2286752.8,2409102.8,2451860.5
m_429,2992968,2863074.5,2277597.8,2334602.5,2273526.2,2396360.2,2362667.5,2512686,2528746.8,2445343.5,2505814.8,2518365.8,2510920.5,2566251,2485136,2633491.2,2377532.5,2579174.2,2428412.8,2315436,2269209.8,2333929.5,2502187.2,2494836.5
m_433,3142484,2996416,2384363,2462190,2396197.2,2512843.5,2465573,2622530.2,2676766,2557898,2647128.2,2639587.5,2620500,2691985.5,2622648.8,2782084.8,2517055.8,2687548.5,2543916,2445424.2,2405345.8,2457986,2632380,2605790.8
m_74,4355416.5,4273491.5,1874538.1,2177869.5,1959562,2618666,2361282.5,2153083.2,2687628,2554725.2,1611542.6,2833610.2,2865095.5,3551794.5,2146715,2647970,2272898,2314617,2750643.8,2427184.2,2382883.8,2265299,3881497.2,2854640.2
m_299,3602970,5293578,1691556.5,2374869.5,1849308,2345585,2639843.5,2126200.2,3459936.8,2747553.2,2308962.5,1810070.8,2396322.2,2230422.5,2094089.2,3068289.8,2281370,2153777.8,2360078.5,2014978.5,2053191.4,3026241.5,3418474.8,2755730.2
m_412,1576295,1999345.2,878241.75,1488413.5,1781697.6,1741339.1,1634911.1,1098117.6,1382379.9,1651977.4,1649462.8,3089966.5,1792695.4,1718866.4,1770937.2,1818276.9,1746913.9,1884817.9,1421997.9,1511222.6,1588712.9,1333610.5,1620616.9,1718040
m_27,2402447.5,2423293.8,1730744.9,1861044.8,1873946,1856315.4,1896890.2,1884569.4,2008694.2,610343.4,1839286.6,1908441,1920923.2,1904572.2,1338283.5,2002954.4,1284298.2,2132023.5,641388.5,1792642.8,986967.4,722605.8,708442,2031597.9
m_61,2799323.8,2545265.2,1850034.1,2088699,1816286.6,1677946.9,1879215.1,1555480.6,1875319.4,1787070.1,1880058,1789326.1,1778126.4,1845237.6,1755034.6,2050480.4,1655059,1341956.4,1751365.1,1512674.5,1245893,1516691.6,1179204.2,1851828.1
m_98,2691442.8,2392515.8,1473067.9,1817676.9,1806019.9,1885069.5,1707919.1,1620717.1,1731352.2,1655273.5,1505964,1883665.9,1704930.2,1907533.9,1569138.5,1862415,1674507.4,1447820,1561549.8,1483337.6,1337504.1,1678519.4,1684651.9,1828350.9
m_312,2411502.2,2144945,1315736.5,1634067.8,1591414.1,1694739.8,1542200.4,1479269.9,1550638.4,1490985.4,1360504.5,1687076.9,1542711.4,1711357.6,1425541.1,1675764.6,1491841.4,1313819.4,1410988.1,1339150.6,1212723,1525096,1537726.5,1653848.2
m_160,1669629.2,2921640,1407921.8,1814249.1,1939307.8,1973035,2393646,2309044.2,2214138.5,2195311.2,1185566.1,1118464.1,1135199,1195230.6,1853407,2056843.5,1163217.5,2075348.9,955542.1,1789193.4,1826780,2053672,1209924.4,2200363
